pitch_name,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,stand,sz_top,sz_bot,swing
Knuckle Curve,6.3,-2.87,54.2,5.92,81.6,2213.0,28.0,0.04,0.56,0.31,-0.69,0,0,0,0,1,1,L,3.23,1.59,0
4-Seam Fastball,6.5,-2.61,53.99,6.01,94.2,2200.0,201.0,0.74,3.29,-0.02,1.43,0,0,0,0,0,1,R,3.38,1.57,1
4-Seam Fastball,6.6,-2.84,53.85,5.93,94.7,2186.0,208.0,0.45,3.01,-0.07,1.28,1,2,0,0,0,1,L,3.68,1.82,1
Cutter,6.6,-2.83,53.92,5.88,94.2,2208.0,205.0,0.98,3.86,0.07,1.17,0,2,0,0,0,1,L,3.65,1.79,0
4-Seam Fastball,6.6,-2.78,53.91,5.94,93.8,2146.0,209.0,0.39,3.58,-0.19,1.29,0,1,0,0,0,1,L,3.68,1.82,1
4-Seam Fastball,6.6,-2.72,53.89,5.99,94.4,2240.0,206.0,0.66,2.82,-0.03,1.33,0,0,0,0,0,1,L,3.68,1.82,1
Knuckle Curve,6.5,-2.86,53.98,5.88,81.7,2390.0,29.0,0.79,0.36,0.17,-0.58,1,2,0,0,0,0,R,3.14,1.49,1
Changeup,6.7,-2.99,53.81,5.76,87.7,1520.0,231.0,-0.26,0.04,-1.24,-0.1,0,2,0,0,0,0,R,3.17,1.39,0
4-Seam Fastball,6.6,-2.98,53.91,5.95,93.4,2159.0,212.0,-0.74,2.72,-0.15,1.23,0,1,0,0,0,0,R,3.15,1.48,0
4-Seam Fastball,6.7,-2.7,53.84,6.02,93.9,2277.0,201.0,0.18,2.63,-0.18,1.38,0,0,0,0,0,0,R,3.3,1.57,0
Knuckle Curve,6.6,-3.05,53.87,5.64,84.2,2509.0,38.0,0.1,0.05,0.1,-0.66,1,2,0,0,1,2,L,3.44,1.62,1
Changeup,6.8,-2.97,53.66,5.57,87.7,1467.0,233.0,-0.13,1.74,-1.04,0.39,1,1,0,0,1,2,L,3.44,1.62,1
Changeup,6.8,-3.15,53.7,5.59,88.6,1613.0,230.0,-1.48,1.17,-1.15,0.02,0,1,0,0,1,2,L,3.58,1.62,0
4-Seam Fastball,6.7,-2.92,53.81,5.79,93.6,2401.0,210.0,-0.22,3.37,-0.57,1.29,0,0,0,0,1,2,L,3.44,1.62,1
4-Seam Fastball,6.7,-2.95,53.76,5.73,93.3,2270.0,209.0,0.4,3.7,-0.47,1.11,0,1,0,0,0,2,L,3.5,1.74,1
4-Seam Fastball,6.9,-2.97,53.64,5.76,93.5,2248.0,207.0,-0.28,1.95,-0.12,1.18,0,0,0,0,0,2,L,3.65,1.78,0
Knuckle Curve,6.7,-3.1,53.84,5.71,82.3,2451.0,44.0,-0.4,1.55,0.25,-0.83,1,1,0,0,0,2,R,3.41,1.6,1
4-Seam Fastball,6.8,-3.06,53.72,5.69,92.8,2155.0,213.0,-1.26,2.59,-0.17,1.4,0,1,0,0,0,2,R,3.41,1.65,0
Knuckle Curve,6.7,-2.97,53.84,5.76,83.5,2517.0,41.0,0.35,1.77,0.22,-0.59,0,0,0,0,0,2,R,3.45,1.65,0
4-Seam Fastball,6.8,-3.19,53.71,5.65,93.1,2195.0,215.0,-0.8,1.84,-0.12,1.38,1,2,0,0,0,1,R,3.35,1.71,0
Changeup,7.0,-3.2,53.5,5.58,88.0,1538.0,230.0,-0.17,0.42,-1.13,0.0,0,2,0,0,0,1,R,3.52,1.71,0
Changeup,6.9,-3.07,53.64,5.58,87.7,1442.0,232.0,-0.67,1.32,-1.18,0.38,0,1,0,0,0,1,R,3.52,1.76,1
Changeup,6.8,-3.19,53.7,5.63,86.5,1497.0,230.0,-0.54,1.54,-1.18,0.26,0,0,0,0,0,1,R,3.52,1.76,1
4-Seam Fastball,6.8,-2.9,53.72,5.86,91.4,2389.0,210.0,0.55,2.69,-0.29,1.31,1,1,0,0,0,0,L,3.46,1.61,1
Knuckle Curve,6.5,-2.99,53.97,5.81,80.4,2483.0,38.0,0.69,0.96,0.55,-0.88,0,1,0,0,0,0,L,3.48,1.62,0
4-Seam Fastball,6.6,-2.88,53.89,5.89,91.1,2277.0,209.0,-0.6,3.25,-0.42,1.33,0,0,0,0,0,0,L,3.55,1.62,0
Changeup,6.8,-3.11,53.65,5.56,88.2,1544.0,229.0,-0.74,1.56,-1.01,0.04,1,2,0,1,0,2,L,3.49,1.54,1
4-Seam Fastball,6.7,-2.94,53.78,5.76,95.0,2351.0,211.0,0.39,2.97,-0.34,1.39,1,2,0,1,0,2,L,3.49,1.54,1
4-Seam Fastball,6.7,-3.03,53.84,5.75,93.6,2249.0,209.0,-0.04,4.05,-0.16,1.29,0,2,0,1,0,2,L,3.49,1.52,0
Knuckle Curve,6.7,-2.94,53.82,5.68,84.6,2323.0,39.0,0.76,1.02,0.31,-0.83,0,1,0,1,0,2,L,3.49,1.54,1
4-Seam Fastball,6.7,-2.86,53.8,5.81,94.2,2245.0,207.0,-0.48,2.5,-0.38,1.24,0,0,0,1,0,2,L,3.49,1.54,1
4-Seam Fastball,6.7,-2.93,53.79,5.78,93.7,2406.0,210.0,0.23,2.17,-0.45,1.35,0,0,0,0,0,2,R,3.32,1.63,1
Knuckle Curve,6.6,-3.07,53.86,5.77,83.5,2360.0,39.0,0.34,0.31,0.28,-0.82,1,2,0,0,0,1,L,3.68,1.78,1
Knuckle Curve,6.7,-3.0,53.79,5.71,82.9,2402.0,41.0,0.07,2.18,0.48,-0.87,1,2,0,0,0,1,L,3.68,1.78,1
Knuckle Curve,6.7,-3.01,53.76,5.65,82.3,2544.0,36.0,0.97,-0.78,0.23,-0.97,0,2,0,0,0,1,L,3.81,1.85,0
4-Seam Fastball,6.7,-2.99,53.83,5.83,92.9,2218.0,209.0,0.06,3.86,-0.14,1.28,0,1,0,0,0,1,L,3.68,1.78,1
Knuckle Curve,6.5,-3.08,53.99,5.82,82.8,2526.0,41.0,0.29,2.25,0.25,-0.67,0,0,0,0,0,1,L,3.78,1.78,0
Knuckle Curve,6.7,-2.87,53.78,5.75,82.7,2522.0,34.0,0.57,0.42,0.32,-0.7,2,2,0,0,0,0,R,3.38,1.62,1
Knuckle Curve,6.8,-2.93,53.71,5.71,82.2,2385.0,35.0,1.48,-0.76,0.18,-0.75,1,2,0,0,0,0,R,3.38,1.65,0
4-Seam Fastball,6.8,-2.8,53.66,5.92,92.9,2254.0,201.0,-0.91,2.6,-0.18,1.27,1,1,0,0,0,0,R,3.38,1.62,1
4-Seam Fastball,6.7,-2.81,53.8,5.96,93.0,2201.0,205.0,-0.29,2.93,-0.19,1.55,1,0,0,0,0,0,R,3.38,1.62,1
4-Seam Fastball,6.7,-3.08,53.83,5.89,91.8,2414.0,206.0,-1.38,2.73,-0.26,1.53,0,0,0,0,0,0,R,3.38,1.72,0
4-Seam Fastball,6.8,-2.72,53.68,5.88,93.9,2397.0,204.0,1.01,3.49,-0.09,1.38,0,2,0,0,0,2,L,3.44,1.62,1
4-Seam Fastball,6.9,-2.8,53.64,5.86,94.4,2414.0,207.0,-0.12,2.11,-0.06,1.54,0,1,0,0,0,2,L,3.55,1.68,0
Knuckle Curve,6.5,-3.07,54.01,5.82,83.7,2515.0,37.0,0.2,1.13,0.24,-0.91,0,0,0,0,0,2,L,3.44,1.62,1
4-Seam Fastball,6.8,-2.81,53.7,5.88,94.0,2370.0,213.0,0.23,2.02,-0.13,1.47,3,2,0,0,0,1,L,3.71,1.78,0
4-Seam Fastball,6.8,-2.84,53.75,5.86,93.5,2269.0,207.0,-0.75,3.09,-0.28,1.39,3,1,0,0,0,1,L,3.5,1.74,1
Knuckle Curve,6.6,-2.92,53.88,5.76,82.4,2490.0,35.0,0.87,1.46,0.37,-0.64,2,1,0,0,0,1,L,3.71,1.85,0
4-Seam Fastball,6.8,-2.95,53.74,5.9,93.6,2424.0,207.0,-1.3,3.06,-0.42,1.52,1,1,0,0,0,1,L,3.61,1.81,0
Knuckle Curve,6.6,-2.93,53.93,5.76,82.6,2575.0,36.0,0.29,0.87,0.59,-0.66,0,1,0,0,0,1,L,3.75,1.98,0
Knuckle Curve,6.6,-2.99,53.89,5.8,82.9,2456.0,50.0,0.08,2.65,0.31,-0.46,0,0,0,0,0,1,L,3.45,1.65,0
4-Seam Fastball,6.8,-2.91,53.69,5.79,92.2,2370.0,208.0,-0.18,2.28,-0.4,1.48,0,0,0,0,0,0,R,3.41,1.6,1
4-Seam Fastball,6.8,-2.89,53.68,5.85,93.3,2307.0,206.0,-0.13,1.76,-0.35,1.41,1,1,0,1,1,1,R,3.52,1.76,1
Knuckle Curve,6.8,-2.97,53.73,5.71,82.9,2523.0,38.0,0.55,0.12,0.28,-0.74,0,1,0,1,1,1,R,3.52,1.75,0
4-Seam Fastball,6.8,-2.84,53.69,5.92,93.6,2344.0,211.0,0.05,2.6,-0.55,1.35,0,0,0,1,1,1,R,3.52,1.76,1
4-Seam Fastball,6.8,-2.84,53.67,5.82,94.6,2315.0,211.0,-0.43,1.26,-0.56,1.36,3,0,0,0,1,1,L,3.46,1.52,0
4-Seam Fastball,6.7,-2.83,53.79,5.88,93.8,2358.0,210.0,-0.96,3.57,-0.61,1.4,2,0,0,0,1,1,L,3.61,1.72,0
Knuckle Curve,6.7,-2.98,53.82,5.71,83.9,2494.0,36.0,0.76,0.27,0.1,-0.7,1,0,0,0,1,1,L,3.68,1.72,0
Changeup,6.8,-2.93,53.66,5.63,87.7,1527.0,235.0,0.16,0.12,-1.11,0.09,0,0,0,0,1,1,L,3.58,1.65,0
4-Seam Fastball,6.8,-3.01,53.72,5.76,93.1,2283.0,216.0,-1.02,2.46,-0.45,1.32,2,0,0,0,1,0,L,3.49,1.54,1
4-Seam Fastball,6.7,-3.1,53.79,5.81,93.0,2276.0,214.0,-1.1,2.91,-0.42,1.36,1,0,0,0,1,0,L,3.49,1.42,0
Changeup,6.9,-2.91,53.61,5.61,87.6,1592.0,232.0,0.53,0.71,-0.97,0.11,0,0,0,0,1,0,L,3.49,1.45,0
4-Seam Fastball,6.8,-2.86,53.68,5.89,93.2,2349.0,202.0,0.38,3.47,-0.3,1.42,0,2,0,0,0,0,R,3.32,1.63,1
4-Seam Fastball,6.8,-2.89,53.71,5.81,92.6,2277.0,213.0,0.48,2.28,-0.28,1.32,0,2,0,0,0,0,R,3.32,1.63,1
4-Seam Fastball,6.7,-2.88,53.81,5.79,92.7,2333.0,215.0,0.31,3.2,-0.33,1.39,0,1,0,0,0,0,R,3.32,1.63,1
4-Seam Fastball,6.8,-2.95,53.68,5.78,92.6,2333.0,216.0,0.65,2.14,-0.42,1.46,0,0,0,0,0,0,R,3.38,1.65,0
Changeup,6.8,-2.94,53.67,5.67,87.5,1549.0,232.0,-0.23,1.35,-0.82,0.23,1,1,0,1,1,2,L,3.68,1.78,1
4-Seam Fastball,6.7,-2.72,53.82,5.89,95.1,2317.0,207.0,-0.58,2.35,-0.32,1.37,1,0,0,1,1,2,L,3.75,1.85,0
4-Seam Fastball,6.9,-2.89,53.64,5.86,94.2,2279.0,205.0,-1.93,3.25,-0.54,1.28,0,0,0,1,1,2,L,3.75,1.75,0
Changeup,6.7,-3.02,53.84,5.71,87.1,1449.0,233.0,-0.91,2.26,-0.94,-0.01,2,2,0,0,1,2,R,3.38,1.62,1
4-Seam Fastball,6.7,-2.87,53.81,5.84,93.3,2220.0,210.0,0.37,2.98,-0.17,1.35,2,1,0,0,1,2,R,3.38,1.62,1
4-Seam Fastball,6.6,-2.92,53.88,5.81,93.3,2229.0,207.0,-1.59,3.07,-0.32,1.34,1,1,0,0,1,2,R,3.38,1.55,0
Knuckle Curve,6.5,-2.86,54.0,5.85,83.0,2443.0,33.0,0.77,2.53,0.49,-0.47,1,0,0,0,1,2,R,3.38,1.65,0
4-Seam Fastball,6.8,-2.85,53.74,5.65,89.5,2323.0,172.0,0.2,0.48,-0.3,0.91,0,0,0,0,1,2,R,3.48,1.72,0
4-Seam Fastball,6.8,-2.81,53.74,5.92,94.2,2121.0,205.0,0.63,3.37,-0.44,1.27,0,2,0,0,1,1,L,3.44,1.62,1
Changeup,6.7,-3.07,53.84,5.76,87.3,1538.0,234.0,-1.01,2.2,-1.05,0.51,0,1,0,0,1,1,L,3.44,1.62,1
4-Seam Fastball,6.6,-2.79,53.93,6.02,93.8,2223.0,207.0,0.47,3.22,-0.37,1.27,0,0,0,0,1,1,L,3.49,1.59,0
4-Seam Fastball,6.7,-2.85,53.78,5.94,93.4,2194.0,198.0,0.1,2.98,-0.35,1.22,1,0,0,0,1,0,L,3.5,1.74,1
